module,path,status,error,imports_count,functions_count,classes_count,file_inputs_count,file_outputs_count
idf_objects.eequip.schedules,idf_objects\eequip\schedules.py,success,,1,2,0,0,0
idf_objects.eequip.schedule_def,idf_objects\eequip\schedule_def.py,success,,1,2,0,0,0
idf_objects.Elec.assign_lighting_values,idf_objects\Elec\assign_lighting_values.py,success,,4,2,0,0,0
idf_objects.Elec.constants,idf_objects\Elec\constants.py,success,,0,0,0,0,0
idf_objects.Elec.lighting,idf_objects\Elec\lighting.py,success,,2,3,0,0,0
idf_objects.Elec.lighting_lookup,idf_objects\Elec\lighting_lookup.py,success,,0,0,0,0,0
idf_objects.Elec.lighting_overrides_from_excel,idf_objects\Elec\lighting_overrides_from_excel.py,success,,2,2,0,0,0
idf_objects.Elec.overrides_helper,idf_objects\Elec\overrides_helper.py,success,,0,1,0,0,0
idf_objects.Elec.schedules,idf_objects\Elec\schedules.py,success,,1,2,0,0,0
idf_objects.Elec.schedule_def,idf_objects\Elec\schedule_def.py,success,,1,2,0,0,0
idf_objects.fenez.assign_fenestration_values,idf_objects\fenez\assign_fenestration_values.py,success,,2,2,0,0,0
idf_objects.fenez.dict_override_excel,idf_objects\fenez\dict_override_excel.py,success,,2,1,0,0,0
idf_objects.fenez.fenestration,idf_objects\fenez\fenestration.py,success,,3,1,0,0,0
idf_objects.fenez.fenez_config_manager,idf_objects\fenez\fenez_config_manager.py,success,,2,2,0,0,0
idf_objects.fenez.materials,idf_objects\fenez\materials.py,success,,2,6,0,0,0
idf_objects.fenez.materials_config,idf_objects\fenez\materials_config.py,success,,4,4,0,0,0
idf_objects.fenez.materials_lookup,idf_objects\fenez\materials_lookup.py,success,,0,0,0,0,0
idf_objects.fenez.materials_lookup0,idf_objects\fenez\materials_lookup0.py,success,,0,0,0,0,0
idf_objects.geomz.assign_geometry_values,idf_objects\geomz\assign_geometry_values.py,success,,3,3,0,0,0
idf_objects.geomz.building,idf_objects\geomz\building.py,success,,5,1,0,0,0
idf_objects.geomz.geometry,idf_objects\geomz\geometry.py,success,,2,8,0,0,0
idf_objects.geomz.geometry_lookup,idf_objects\geomz\geometry_lookup.py,success,,0,0,0,0,0
idf_objects.geomz.geometry_overrides_from_excel,idf_objects\geomz\geometry_overrides_from_excel.py,success,,3,2,0,0,0
idf_objects.geomz.geometry_overrides_helper,idf_objects\geomz\geometry_overrides_helper.py,success,,0,1,0,0,0
idf_objects.geomz.override_geometry_lookup_from_excel,idf_objects\geomz\override_geometry_lookup_from_excel.py,success,,0,1,0,0,0
idf_objects.geomz.zoning,idf_objects\geomz\zoning.py,success,,2,5,0,0,0
idf_objects.geomz.__init__,idf_objects\geomz\__init__.py,success,,0,0,0,0,0
idf_objects.HVAC.assign_hvac_values,idf_objects\HVAC\assign_hvac_values.py,success,,2,5,0,0,0
idf_objects.HVAC.custom_hvac,idf_objects\HVAC\custom_hvac.py,success,,3,1,0,0,0
idf_objects.HVAC.hvac_lookup,idf_objects\HVAC\hvac_lookup.py,success,,0,0,0,0,0
idf_objects.HVAC.hvac_lookup2,idf_objects\HVAC\hvac_lookup2.py,success,,0,0,0,0,0
idf_objects.HVAC.hvac_lookup3,idf_objects\HVAC\hvac_lookup3.py,success,,0,0,0,0,0
idf_objects.HVAC.hvac_overrides_from_excel,idf_objects\HVAC\hvac_overrides_from_excel.py,success,,1,2,0,0,0
idf_objects.HVAC.schedule_creation,idf_objects\HVAC\schedule_creation.py,success,,2,5,0,0,0
idf_objects.other.zonelist,idf_objects\other\zonelist.py,success,,0,1,0,0,0
idf_objects.outputdef.add_output_definitions,idf_objects\outputdef\add_output_definitions.py,success,,0,1,0,0,0
idf_objects.outputdef.assign_output_settings,idf_objects\outputdef\assign_output_settings.py,success,,1,1,0,0,0
idf_objects.outputdef.output_lookup,idf_objects\outputdef\output_lookup.py,success,,0,0,0,0,0
idf_objects.postproc.merge_results,idf_objects\postproc\merge_results.py,success,,6,5,0,0,0
idf_objects.setzone.add_outdoor_air_and_zone_sizing_to_all_zones,idf_objects\setzone\add_outdoor_air_and_zone_sizing_to_all_zones.py,success,,3,1,0,0,0
idf_objects.setzone.assign_zone_sizing_values,idf_objects\setzone\assign_zone_sizing_values.py,success,,2,2,0,0,0
idf_objects.setzone.define_global_design_specs,idf_objects\setzone\define_global_design_specs.py,success,,0,1,0,0,0
idf_objects.setzone.zone_sizing_lookup,idf_objects\setzone\zone_sizing_lookup.py,success,,0,0,0,0,0
idf_objects.shading.shading,idf_objects\shading\shading.py,success,,4,1,0,0,0
idf_objects.shading.shading_creator,idf_objects\shading\shading_creator.py,success,,1,1,0,0,0
idf_objects.shading.transmittance_schedules,idf_objects\shading\transmittance_schedules.py,success,,0,1,0,0,0
idf_objects.structuring.dhw_structuring,idf_objects\structuring\dhw_structuring.py,success,,3,4,0,0,0
idf_objects.structuring.equipment_structuring,idf_objects\structuring\equipment_structuring.py,success,,3,1,0,0,0
idf_objects.structuring.fenestration_structuring,idf_objects\structuring\fenestration_structuring.py,success,,2,3,0,0,0
idf_objects.structuring.flatten_assigned_vent,idf_objects\structuring\flatten_assigned_vent.py,success,,3,3,0,0,0
idf_objects.structuring.flatten_hvac,idf_objects\structuring\flatten_hvac.py,success,,3,3,0,0,0
idf_objects.structuring.shading_structuring,idf_objects\structuring\shading_structuring.py,success,,2,1,0,0,0
idf_objects.structuring.zone_sizing_structuring,idf_objects\structuring\zone_sizing_structuring.py,success,,3,1,0,0,0
idf_objects.tempground.add_ground_temperatures,idf_objects\tempground\add_ground_temperatures.py,success,,1,1,0,0,0
idf_objects.tempground.assign_groundtemp_values,idf_objects\tempground\assign_groundtemp_values.py,success,,2,2,0,0,0
idf_objects.tempground.groundtemp_lookup,idf_objects\tempground\groundtemp_lookup.py,success,,0,0,0,0,0
idf_objects.ventilation.add_ventilation,idf_objects\ventilation\add_ventilation.py,success,,8,2,0,0,0
idf_objects.ventilation.assign_ventilation_values,idf_objects\ventilation\assign_ventilation_values.py,success,,3,4,0,0,0
idf_objects.ventilation.calc_functions,idf_objects\ventilation\calc_functions.py,success,,1,3,0,0,0
idf_objects.ventilation.config_systems,idf_objects\ventilation\config_systems.py,success,,0,0,0,0,0
idf_objects.ventilation.create_ventilation_systems,idf_objects\ventilation\create_ventilation_systems.py,success,,5,3,0,0,0
idf_objects.ventilation.mappings,idf_objects\ventilation\mappings.py,success,,1,4,0,0,0
idf_objects.ventilation.schedules copy,idf_objects\ventilation\schedules copy.py,success,,2,7,0,0,0
idf_objects.ventilation.schedules,idf_objects\ventilation\schedules.py,success,,5,4,0,0,0
idf_objects.ventilation.schedule_lookup,idf_objects\ventilation\schedule_lookup.py,success,,0,0,0,0,0
idf_objects.ventilation.ventilation_lookup,idf_objects\ventilation\ventilation_lookup.py,success,,0,0,0,0,0
idf_objects.ventilation.ventilation_overrides_from_excel,idf_objects\ventilation\ventilation_overrides_from_excel.py,success,,3,3,0,0,0
idf_objects.wshading.assign_shading_values,idf_objects\wshading\assign_shading_values.py,success,,3,2,0,0,0
idf_objects.wshading.create_shading_objects,idf_objects\wshading\create_shading_objects.py,success,,3,3,0,0,0
idf_objects.wshading.shading_lookup,idf_objects\wshading\shading_lookup.py,success,,0,0,0,0,0
idf_objects.wshading.shading_overrides_from_excel,idf_objects\wshading\shading_overrides_from_excel.py,success,,2,2,0,0,0
idf_objects.wshading.__init__,idf_objects\wshading\__init__.py,success,,0,0,0,0,0
Lookups.data_materials_non_residential,Lookups\data_materials_non_residential.py,success,,0,0,0,0,0
Lookups.data_materials_non_residential_modified,Lookups\data_materials_non_residential_modified.py,success,,0,0,0,0,0
Lookups.data_materials_residential,Lookups\data_materials_residential.py,success,,0,0,0,0,0
Lookups.dhw_lookup,Lookups\dhw_lookup.py,success,,0,0,0,0,0
Lookups.here.geometry_lookup,Lookups\here\geometry_lookup.py,success,,0,0,0,0,0
Lookups.here.materials_lookup,Lookups\here\materials_lookup.py,success,,0,0,0,0,0
lookup_pys.dhw_lookup_generated,lookup_pys\dhw_lookup_generated.py,success,,0,0,0,0,0
lookup_pys.epw_lookup_generated,lookup_pys\epw_lookup_generated.py,success,,0,0,0,0,0
lookup_pys.geometry_lookup2,lookup_pys\geometry_lookup2.py,success,,0,0,0,0,0
lookup_pys.groundtemp_lookup_generated,lookup_pys\groundtemp_lookup_generated.py,success,,0,0,0,0,0
lookup_pys.hc_dhw_lookup,lookup_pys\hc_dhw_lookup.py,success,,2,2,0,0,0
lookup_pys.hc_envelop_lookup,lookup_pys\hc_envelop_lookup.py,success,,2,1,0,0,0
lookup_pys.hc_epw_lookup,lookup_pys\hc_epw_lookup.py,success,,2,1,0,0,0
lookup_pys.hc_geometry_lookup,lookup_pys\hc_geometry_lookup.py,success,,3,3,0,0,0
lookup_pys.hc_groundtemp_lookup,lookup_pys\hc_groundtemp_lookup.py,success,,2,2,0,0,0
lookup_pys.hc_lighting_lookup,lookup_pys\hc_lighting_lookup.py,success,,2,2,0,0,0
lookup_pys.hc_schedules_lookup,lookup_pys\hc_schedules_lookup.py,success,,2,1,0,0,0
lookup_pys.hc_ventilation_lookup,lookup_pys\hc_ventilation_lookup.py,success,,2,2,0,0,0
lookup_pys.hvac_lookup,lookup_pys\hvac_lookup.py,success,,0,0,0,0,0
lookup_pys.lighting_lookup,lookup_pys\lighting_lookup.py,success,,0,0,0,0,0
lookup_pys.materials_lookup,lookup_pys\materials_lookup.py,success,,0,0,0,0,0
lookup_pys.materials_lookup_generated,lookup_pys\materials_lookup_generated.py,success,,0,0,0,0,0
lookup_pys.ventilation_lookup,lookup_pys\ventilation_lookup.py,success,,0,0,0,0,0
lookup_pys.ventilation_lookup_generated,lookup_pys\ventilation_lookup_generated.py,success,,0,0,0,0,0
modification.common_utils,modification\common_utils.py,success,,4,10,0,0,0
modification.dhw_functions,modification\dhw_functions.py,success,,5,11,0,0,0
modification.elec_functions,modification\elec_functions.py,success,,3,8,0,0,0
modification.equipment_functions,modification\equipment_functions.py,success,,3,2,0,0,0
modification.equipment_functions_first one,modification\equipment_functions_first one.py,success,,5,4,0,0,0
modification.fenez_functions2,modification\fenez_functions2.py,success,,4,4,0,2,0
modification.hvac_functions,modification\hvac_functions.py,success,,4,12,0,0,0
modification.main_modifi,modification\main_modifi.py,success,,11,2,0,0,0
modification.shading_functions,modification\shading_functions.py,success,,2,2,0,0,0
modification.vent_functions,modification\vent_functions.py,success,,4,8,0,0,0
modification.zone_sizing_functions,modification\zone_sizing_functions.py,success,,4,2,0,0,0
postproc.merge_results,postproc\merge_results.py,success,,6,5,0,0,0
tempground.groundtemp_lookup_generated,tempground\groundtemp_lookup_generated.py,success,,0,0,0,0,0
validation.compare_sims_with_measured,validation\compare_sims_with_measured.py,success,,1,2,0,0,0
validation.main_validation,validation\main_validation.py,success,,6,3,0,0,0
validation.metrics,validation\metrics.py,success,,1,5,0,0,0
validation.validate_results_custom,validation\validate_results_custom.py,success,,6,2,0,0,0
validation.visualize,validation\visualize.py,success,,2,5,0,0,0
ZZZz.check_files,ZZZz\check_files.py,success,,3,2,0,0,0
ZZZz.draft main,ZZZz\draft main.py,success,,3,6,0,0,0
ZZZz.main,ZZZz\main.py,success,,31,9,1,0,0
ZZZz.__init__,ZZZz\__init__.py,success,,0,0,0,0,0
